Data Dictionary - Column Information,,,,
Table Name,Column Name,Column Description,Primary Key or Foreign Key,"Additional Notes 
(where applicable, includes the  range of possible values, units of measure, how to interpret null/zero values, whether there are specific relationships between columns, and/or information on column source)"
MV-Collisions - Vehicle,TRAVEL_DIRECTION,Direction vehicle was traveling,,
MV-Collisions - Vehicle,VEH_OCCUPANTS,Number of vehicle occupants,,
MV-Collisions - Vehicle,DRIVER_SEX,Gender of driver,,
MV-Collisions - Vehicle,DRIVER_LICENSE_STATUS,"License, permit, unlicensed",,
MV-Collisions - Vehicle,DRIVER_LICENSE_JURISDICTION,"NYPD, Port Authority, TBTA, MTA, etc.",,
MV-Collisions - Vehicle,PRE_ACDNT_ACTION,"Going straight, making right turn, passing, backing, etc.",,
MV-Collisions - Vehicle,POINT_OF_IMPACT,"Location on the vehicle of the initial point of impact (i.e. driver side, passenger side rear, etc.)",,
MV-Collisions - Vehicle,VEHICLE_DAMAGE,Location on the vehicle where most of the damage occurred,,
MV-Collisions - Vehicle,VEHICLE_DAMAGE_1,Additional damage locations on the vehicle,,
MV-Collisions - Vehicle,VEHICLE_DAMAGE_2,Additional damage locations on the vehicle,,
MV-Collisions - Vehicle,VEHICLE_DAMAGE_3,Additional damage locations on the vehicle,,
MV-Collisions - Vehicle,PUBLIC_PROPERTY_DAMAGE,Public property damaged (Yes or No),,
MV-Collisions - Vehicle,PUBLIC_PROPERTY_DAMAGE_TYPE,"Type of public property damaged (ex. Sign, fence, light post, etc.)",,
MV-Collisions - Vehicle,CONTRIBUTING_FACTOR_1,Factors contributing to the collision for designated vehicle,,
MV-Collisions - Vehicle,CONTRIBUTING_FACTOR_2,Factors contributing to the collision for designated vehicle,,
MV-Collisions - Person,UNIQUE_ID,Unique record code generated by system,Primary Key for the person table,
MV-Collisions - Person,COLLISION_ID,Unique crash identification code,Foreign Key to the crash table,
MV-Collisions - Person,ACCIDENT_DATE,Occurrence date of collision,,
MV-Collisions - Person,ACCIDENT_TIME,Occurrence time of collision,,
MV-Collisions - Person,VICTIM_NUMBER,Unique victim identification code assigned by system,,
MV-Collisions - Person,VICTIM_TYPE,"Bicyclist, Occupant, Pedestrian, etc.",,
MV-Collisions - Person,VICTIM_INJURY,"Injured, killed, unspecified",,
MV-Collisions - Person,VICTIM_VEHICLE,Unique vehicle record associated with victim,Foreign Key to the vehicle table,
MV-Collisions - Person,VICTIM_AGE,Automatically calculated based on date of birth,,
MV-Collisions - Person,EJECTION,"Not ejected, partially ejected, or ejected from the vehicle",,
MV-Collisions - Person,EMOTIONAL_STATUS,"Death, unconscious, semiconscious, etc.",,
MV-Collisions - Person,BODILY_INJURY,"Injured body area (i.e. head, face, neck, etc.)",,
MV-Collisions - Person,POSITION_IN_VEHICLE,"Seating position #1-#8 (i.e. driver, front passenger, etc.)",,
MV-Collisions - Person,SAFETY_EQUIPMENT,"Safety equipment being used (i.e. lap belt, harness, child restraint, air bag, etc.)",,
MV-Collisions - Person,PED_LOCATION,"Location of the pedestrian (i.e. at intersection, not at intersection)",,
MV-Collisions - Person,PED_ACTION,"What the pedestrian was doing at time of crash (i.e., walking with the signal, against the signal, etc.)",,
MV-Collisions - Person,COMPLAINT,"Type of physical complaint (ex. Concussion, severe burn, severe bleeding, etc.)",,
MV-Collisions - Person,VICTIM_ROLE,"Driver, passenger, pedestrian, etc.",,
MV-Collisions - Person,CONTRIBUTING _FACTOR_1,Factors contributing to the collision for designated vehicle,,
MV-Collisions - Person,CONTRIBUTING_FACTOR_2,Factors contributing to the collision for designated vehicle,,
MV-Collisions - Person,VICTIM_SEX,Gender of victim,,
,,,,
